
system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SAVI,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,year,.geo
1_2021028_23_0,0,0.0340558111130579,0.0643691923912792,0.20100603285910829,0.18302304497254746,0.02959815159972225,0.06212479789696988,0.19804467712085516,0.08735807225595982,0.03232979372010699,36.281604740000034,0.027946537,-0.09092412,0.27898592,2.0985941863848493E-5,-17.64618676830805,-5.544999342657704,12.101187425650345,3299.5,2600.0,1550.0,2749.5,0.4184302325581396,1.6483853454520588E-5,315.3999938964844,63,28,2021-01-28,1,10.040025620134873,77.50276783799657,1,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50215113741172,10.038673300035653]}"
1_2021035_20_0,0,0.03681510605644153,0.06368343880222667,0.05516508623721108,0.25938188636098947,0.044440364261852605,0.07039907211363906,0.17470547922753862,0.1717152455452061,0.046710144562114565,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223E-5,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.5026178010471205,1.2127509019008929E-4,319.0,67,4,2021-02-04,1,18.220695274495366,78.32145314048748,2,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}"
1_2021048_48_0,0,0.037544450271710494,0.04896363075662019,0.0848174578076678,0.09446449206082215,0.037545296508048116,0.05893879119660063,0.16398958889125237,0.34774434291918216,0.036947897900345514,30.717068180000012,0.13611948,-0.042402826,0.4193126,4.261859083689204E-5,-15.002875446311027,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.6288659793814433,1.0230539070793222E-4,325.1000061035156,46,17,2021-02-17,1,17.476486388915202,78.15031860836525,2,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}"
1_2021073_5_0,0,0.04110183085068189,0.061577474341902416,0.03709566130419262,0.07012301139184274,0.03337407228536904,0.08069573914690409,0.15894886925525498,0.4576607302224147,0.04025222473137546,28.718893688000037,0.3755403,0.12849395,0.5554917,4.66417683276769E-5,-13.841692224423275,-7.190571422387935,6.65112080203534,2089.0,1228.0,773.0,2705.0,0.833117723156533,1.335742444413417E-4,324.29998779296875,39,14,2021-03-14,1,17.88244396306429,80.77695474156354,3,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.78100192444798,17.880965730399076]}"
1_2021082_65_0,1,0.03493557211662517,0.05319707053907526,0.032188974757445976,0.08639838589200129,0.03351481452894708,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.03544483642326668,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854666E-5,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,0.745537042546861,3.623742407998694E-5,343.5,86,23,2021-03-23,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}"
1_2021085_65_0,1,0.03493557211662517,0.05319707053907526,0.032188974757445976,0.08639838589200129,0.03351481452894708,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.03544483642326668,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854666E-5,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,0.745537042546861,3.623742407998694E-5,327.1000061035156,52,26,2021-03-26,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}"
1_2021088_88_0,0,0.03611874099916958,0.04111866580377169,0.04186449216350036,0.09611793322598233,0.028452100232243538,0.04807656321345883,0.21405470578054733,0.4066598685732221,0.031735746778876466,26.639370320000012,0.225054,0.054079168,0.4867628,2.1840270275282495E-5,-15.081273446049833,-8.529382789253267,6.551890656796566,2545.0,1794.0,979.0,2836.0,0.7300484864369021,7.238112889221584E-5,310.70001220703125,78,29,2021-03-29,1,14.473716549077153,78.9610451702261,3,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95742189768535,14.47635080358609]}"
1_2021091_34_0,0,0.03583905796463087,0.06084325386451162,0.03171998687497707,0.0737779458885956,0.029642168023256643,0.0560268786785221,0.1850849728551552,0.4670550253729082,0.037980351240769254,25.06708112000001,0.1739111,0.035615355,0.42560312,2.1340792670899204E-5,-15.504182810998518,-8.346758294253473,7.157424516745046,2437.0,1841.6,1054.4285714285713,2617.0,0.6383177388293423,1.010997701430954E-4,323.5,53,1,2021-04-01,1,15.333035994764405,78.76996782294837,4,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76877568802024,15.329750323499635]}"
1_2021091_62_0,0,0.040883806667560904,0.03825828564752425,0.04018375337389963,0.05133339408119875,0.030780944214867694,0.047694885418085115,0.10488892759063415,0.6003824049274304,0.030438750676278558,26.88888578000001,0.33997378,0.13297872,0.55097085,2.3385690829280493E-5,-11.930621878865184,-5.661325582454549,6.2692962964106345,1956.0,1259.0,740.0,2556.0,0.8263309570756863,1.348337268769195E-4,325.5,48,1,2021-04-01,1,17.927691949575294,82.69058645497867,4,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.69441347962255,17.92588149460505]}"
1_2021142_20_0,0,0.03681510605644153,0.06368343880222667,0.05516508623721108,0.25938188636098947,0.044440364261852605,0.07039907211363906,0.17470547922753862,0.1717152455452061,0.046710144562114565,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223E-5,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.5026178010471205,1.2127509019008929E-4,331.79998779296875,66,22,2021-05-22,1,18.220695274495366,78.32145314048748,5,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}"
