system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio,dist_to_industrial_km,nearest_facility_name,nearest_facility_category,is_industrial_zone,industrial_density_5km,industrial_density_15km,industrial_density_30km,industrial_proximity_score,month_sin,month_cos,day_sin,day_cos,spatial_cluster_id,recurrence_count_1km,active_months_count,persistence_score,is_recurrent_hotspot,vegetation_stress_index,fuel_dryness_indicator,thermal_vegetation_ratio,built_industrial_interaction,radar_biomass_proxy,industrial_gas_emission_score,is_thermal_hotspot,target_class,target_class_name
1_2021035_20_0,0,0.0368151060564415,0.0636834388022266,0.055165086237211,0.2593818863609894,0.0444403642618526,0.070399072113639,0.1747054792275386,0.1717152455452061,0.0467101445621145,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223e-05,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.00012127509019,319.0,67,4,2021-02-04,1,18.22069527449537,78.32145314048748,2,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}",0.1111,0.2231,0.26605,0.188025,0.0527083127560543,0.1937656359668022,0.0794391956070138,0.0501470642076871,0.292689772590836,0.1971398531442396,0.062248974946739,0.0718611907806276,crops,0.292689772590836,4.1746240390613885,73.79,Bollaram Industrial Area Hyderabad,Industrial Estate,0,0,0,0,0.0006,0.866,0.5,0.7248,0.689,1,2,2,0.1667,1,1.7100384420397698,0.994999607529595,39.928608796637455,3.73493849680434e-05,-121.66504865638016,0.3523107078143087,1,0,Forest/Natural Fire
1_2021048_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.0001023053907079,325.1000061035156,46,17,2021-02-17,1,17.476486388915202,78.15031860836525,2,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",0.0887,0.2168,0.236,0.16485,0.042302967138899,0.3981449107314612,0.0674811258253724,0.0429869501286385,0.1081557688131529,0.1877575338304521,0.0971105349516833,0.0560602085803403,trees,0.3981449107314612,2.400487409343749,13.08,Patancheru Industrial Development Area (IDA),Industrial Estate,0,0,1,3,0.2704,0.866,0.5,-0.2994,-0.9541,2,2,2,0.1667,1,1.2249992779458196,0.9005114953743496,33.41308297090675,0.0262586886509351,-83.98076309847768,0.4360111586988367,1,2,Persistent Thermal Source
1_2021073_5_0,0,0.0411018308506818,0.0615774743419024,0.0370956613041926,0.0701230113918427,0.033374072285369,0.080695739146904,0.1589488692552549,0.4576607302224147,0.0402522247313754,28.71889368800004,0.3755403,0.12849395,0.5554917,4.66417683276769e-05,-13.841692224423277,-7.190571422387935,6.65112080203534,2089.0,1228.0,773.0,2705.0,0.0001335742444413,324.29998779296875,39,14,2021-03-14,1,17.88244396306429,80.77695474156354,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.78100192444798,17.880965730399076]}",0.0773,0.2705,0.2089,0.1228,0.042833920070568,0.4870141530961011,0.0858713987542568,0.0355146169992082,0.074620557872531,0.1691435245237467,0.0394749011234181,0.0655269275601696,trees,0.4870141530961011,2.863833195665518,37.59,Kothagudem Thermal Power Station Palwancha,Thermal Power,0,0,0,0,0.0233,1.0,0.0,0.2994,-0.9541,3,1,1,0.0833,0,0.6242779007455774,0.5442204065311851,27.209018970021305,0.0009197651961756,-92.06276708923248,0.62301389637756,1,0,Forest/Natural Fire
1_2021082_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,343.5,86,23,2021-03-23,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",0.0845,0.25155,0.2307,0.15185,0.0379964622492493,0.3441370298360431,0.0911746869499439,0.0359275006896016,0.0926180888166433,0.3066133602673765,0.0345062155064846,0.0570266556846573,trees,0.3441370298360431,1.7673958206445426,89.56,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0001,1.0,0.0,-0.9987,-0.0506,4,2,1,0.0833,1,0.8399682525538449,0.7203013904265763,29.080467725034083,3.45062155064846e-06,-84.29334169725333,0.074298631275134,1,0,Forest/Natural Fire
1_2021085_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,327.1000061035156,52,26,2021-03-26,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",0.0845,0.25155,0.2307,0.15185,0.0379964622492493,0.3441370298360431,0.0911746869499439,0.0359275006896016,0.0926180888166433,0.3066133602673765,0.0345062155064846,0.0570266556846573,trees,0.3441370298360431,1.7673958206445426,89.56,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0001,1.0,0.0,-0.8486,0.529,4,2,1,0.0833,1,0.8399682525538449,0.7203013904265763,29.080467725034083,3.45062155064846e-06,-84.29334169725333,0.074298631275134,1,0,Forest/Natural Fire
1_2021088_88_0,0,0.0361187409991695,0.0411186658037716,0.0418644921635003,0.0961179332259823,0.0284521002322435,0.0480765632134588,0.2140547057805473,0.4066598685732221,0.0317357467788764,26.63937032000001,0.225054,0.054079168,0.4867628,2.184027027528249e-05,-15.081273446049831,-8.529382789253267,6.551890656796566,2545.0,1794.0,979.0,2836.0,7.238112889221584e-05,310.70001220703125,78,29,2021-03-29,1,14.473716549077151,78.9610451702261,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95742189768535,14.47635080358609]}",0.0979,0.2836,0.2545,0.1794,0.0349481809210606,0.4478237981685483,0.0529430878357371,0.0313321489936529,0.1058474200574329,0.2357222798866756,0.0461022031872329,0.0452808809496593,trees,0.4478237981685483,3.3141132403536444,49.16,Yerraguntla Cement Cluster Kadapa,Cement,0,0,0,0,0.0073,1.0,0.0,-0.3944,0.919,5,1,1,0.0833,0,0.8000171169832053,0.733037565075072,26.99673145359757,0.0003365460832668,-98.81085458376803,0.1580823417836052,1,0,Forest/Natural Fire
1_2021091_34_0,0,0.0358390579646308,0.0608432538645116,0.031719986874977,0.0737779458885956,0.0296421680232566,0.0560268786785221,0.1850849728551552,0.4670550253729082,0.0379803512407692,25.06708112000001,0.1739111,0.035615355,0.42560312,2.1340792670899204e-05,-15.504182810998518,-8.346758294253473,7.157424516745046,2437.0,1841.6,1054.428571428571,2617.0,0.000101099770143,323.5,53,1,2021-04-01,1,15.333035994764405,78.76996782294837,4,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76877568802024,15.329750323499635]}",0.1054428571428571,0.2617,0.2437,0.18416,0.040313255863051,0.4957434074430249,0.0594682729777102,0.0314629081832812,0.0783096815193395,0.1964536299260569,0.0336683549543095,0.0645804891332266,trees,0.4957434074430249,4.73739526465469,76.88,Rayalaseema Thermal Power Station (RTPS),Thermal Power,0,0,0,0,0.0005,0.866,-0.5,0.2013,0.9795,6,1,1,0.0833,0,0.845557887597873,0.7966674505649405,27.0818891794574,1.683417747715475e-05,-110.97001816353792,0.2157549233697328,1,0,Forest/Natural Fire
1_2021091_62_0,0,0.0408838066675609,0.0382582856475242,0.0401837533738996,0.0513333940811987,0.0307809442148676,0.0476948854180851,0.1048889275906341,0.6003824049274304,0.0304387506762785,26.88888578000001,0.33997378,0.13297872,0.55097085,2.3385690829280493e-05,-11.930621878865184,-5.661325582454549,6.2692962964106345,1956.0,1259.0,740.0,2556.0,0.0001348337268769,325.5,48,1,2021-04-01,1,17.927691949575294,82.69058645497867,4,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.69441347962255,17.92588149460505]}",0.074,0.2556,0.1956,0.1259,0.0322457596463259,0.6360243536624688,0.050526311933991,0.0326082676452652,0.0543808221624043,0.1111157019753871,0.0425692784425549,0.0405295045316024,trees,0.6360243536624688,5.765650793095169,55.59,Simhadri Super Thermal Power Plant NTPC,Thermal Power,0,0,0,0,0.0039,0.866,-0.5,0.2013,0.9795,7,1,1,0.0833,0,0.6111437702288924,0.5722567780979616,25.58480644824736,0.0001660201859259,-74.79660355904518,0.3153179850102831,1,0,Forest/Natural Fire
1_2021142_20_0,0,0.0368151060564415,0.0636834388022266,0.055165086237211,0.2593818863609894,0.0444403642618526,0.070399072113639,0.1747054792275386,0.1717152455452061,0.0467101445621145,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223e-05,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.00012127509019,331.79998779296875,66,22,2021-05-22,1,18.22069527449537,78.32145314048748,5,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}",0.1111,0.2231,0.26605,0.188025,0.0527083127560543,0.1937656359668022,0.0794391956070138,0.0501470642076871,0.292689772590836,0.1971398531442396,0.062248974946739,0.0718611907806276,crops,0.292689772590836,4.1746240390613885,73.79,Bollaram Industrial Area Hyderabad,Industrial Estate,0,0,0,0,0.0006,0.5,-0.866,-0.9681,-0.2507,1,2,2,0.1667,1,1.7100384420397698,0.994999607529595,39.928608796637455,3.73493849680434e-05,-121.66504865638016,0.3523107078143087,1,0,Forest/Natural Fire
1_2021300_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.0001023053907079,314.20001220703125,54,27,2021-10-27,1,17.476486388915202,78.15031860836525,10,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",0.0887,0.2168,0.236,0.16485,0.042302967138899,0.3981449107314612,0.0674811258253724,0.0429869501286385,0.1081557688131529,0.1877575338304521,0.0971105349516833,0.0560602085803403,trees,0.3981449107314612,2.400487409343749,13.08,Patancheru Industrial Development Area (IDA),Industrial Estate,0,0,1,3,0.2704,-0.866,0.5,-0.7248,0.689,2,2,2,0.1667,1,1.2249992779458196,0.9005114953743496,33.41308297090675,0.0262586886509351,-83.98076309847768,0.4360111586988367,1,2,Persistent Thermal Source
