system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,year,.geo,FIRMS_T21,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio,dist_to_industrial_km,nearest_facility_name,nearest_facility_category,is_industrial_zone,industrial_density_5km,industrial_density_15km,industrial_density_30km,industrial_proximity_score,month_sin,month_cos,day_sin,day_cos,spatial_cluster_id,recurrence_count_1km,active_months_count,persistence_score,is_recurrent_hotspot,vegetation_stress_index,fuel_dryness_indicator,thermal_vegetation_ratio,built_industrial_interaction,radar_biomass_proxy,industrial_gas_emission_score,is_thermal_hotspot,target_class,target_class_name,spatial_block_id
1_2021048_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.0001023053907079,325.1000061035156,46.0,17.0,2021-02-17,1,17.476486388915202,78.15031860836525,2.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",,0.0887,0.2168,0.236,0.16485,0.042302967138899,0.3981449107314613,0.0674811258253724,0.0429869501286385,0.1081557688131529,0.1877575338304521,0.0971105349516833,0.0560602085803403,trees,0.3981449107314613,2.400487409342993,13.08,Patancheru Industrial Development Area (IDA),Industrial Estate,0,0,1,3,0.2704,0.866,0.5,-0.2994,-0.9541,2,2,2,0.1667,1,1.2249992779458196,0.9005114953743496,33.41308297090675,0.0262586886509351,-83.98076309847768,0.4360111586988367,1,2,Persistent Thermal Source,B_34_156
1_2021082_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,343.5,86.0,23.0,2021-03-23,1,15.783837799658167,79.00716904160585,3.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",,0.0845,0.25155,0.2307,0.15185,0.0379964622492493,0.344137029836043,0.0911746869499439,0.0359275006896016,0.0926180888166433,0.3066133602673765,0.0345062155064846,0.0570266556846573,trees,0.344137029836043,1.7673958206445426,89.56,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0001,1.0,0.0,-0.9987,-0.0506,4,3,2,0.1667,1,0.8399682525538449,0.7203013904265763,29.080467725034083,3.45062155064846e-06,-84.29334169725333,0.074298631275134,1,0,Forest/Natural Fire,B_31_158
1_2021085_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,327.1000061035156,52.0,26.0,2021-03-26,1,15.783837799658167,79.00716904160585,3.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",,0.0845,0.25155,0.2307,0.15185,0.0379964622492493,0.344137029836043,0.0911746869499439,0.0359275006896016,0.0926180888166433,0.3066133602673765,0.0345062155064846,0.0570266556846573,trees,0.344137029836043,1.7673958206445426,89.56,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0001,1.0,0.0,-0.8486,0.529,4,3,2,0.1667,1,0.8399682525538449,0.7203013904265763,29.080467725034083,3.45062155064846e-06,-84.29334169725333,0.074298631275134,1,0,Forest/Natural Fire,B_31_158
1_2021088_88_0,0,0.0361187409991695,0.0411186658037716,0.0418644921635003,0.0961179332259823,0.0284521002322435,0.0480765632134588,0.2140547057805473,0.4066598685732221,0.0317357467788764,26.63937032000001,0.225054,0.054079168,0.4867628,2.184027027528249e-05,-15.081273446049831,-8.529382789253267,6.551890656796566,2545.0,1794.0,979.0,2836.0,7.238112889221584e-05,310.70001220703125,78.0,29.0,2021-03-29,1,14.473716549077151,78.9610451702261,3.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95742189768535,14.47635080358609]}",,0.0979,0.2836,0.2545,0.1794,0.0349481809210606,0.4478237981685483,0.0529430878357371,0.0313321489936529,0.1058474200574329,0.2357222798866756,0.0461022031872329,0.0452808809496593,trees,0.4478237981685483,3.314113240353645,49.16,Yerraguntla Cement Cluster Kadapa,Cement,0,0,0,0,0.0073,1.0,0.0,-0.3944,0.919,5,1,1,0.0833,0,0.8000171169832053,0.733037565075072,26.99673145359757,0.0003365460832668,-98.81085458376803,0.1580823417836052,1,0,Forest/Natural Fire,B_28_157
1_2021091_62_0,0,0.0408838066675609,0.0382582856475242,0.0401837533738996,0.0513333940811987,0.0307809442148676,0.0476948854180851,0.1048889275906341,0.6003824049274304,0.0304387506762785,26.88888578000001,0.33997378,0.13297872,0.55097085,2.3385690829280493e-05,-11.930621878865184,-5.661325582454549,6.2692962964106345,1956.0,1259.0,740.0,2556.0,0.0001348337268769,325.5,48.0,1.0,2021-04-01,1,17.927691949575294,82.69058645497867,4.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.69441347962255,17.92588149460505]}",,0.074,0.2556,0.1956,0.1259,0.0322457596463259,0.6360243536624688,0.050526311933991,0.0326082676452652,0.0543808221624043,0.1111157019753871,0.0425692784425549,0.0405295045316024,trees,0.6360243536624688,5.765650793094336,55.59,Simhadri Super Thermal Power Plant NTPC,Thermal Power,0,0,0,0,0.0039,0.866,-0.5,0.2013,0.9795,7,1,1,0.0833,0,0.6111437702288924,0.5722567780979616,25.58480644824736,0.0001660201859259,-74.79660355904518,0.3153179850102831,1,0,Forest/Natural Fire,B_35_165
1_2021300_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.0001023053907079,314.20001220703125,54.0,27.0,2021-10-27,1,17.476486388915202,78.15031860836525,10.0,FIRMS_FIRE,NASA_FIRMS,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",,0.0887,0.2168,0.236,0.16485,0.042302967138899,0.3981449107314613,0.0674811258253724,0.0429869501286385,0.1081557688131529,0.1877575338304521,0.0971105349516833,0.0560602085803403,trees,0.3981449107314613,2.400487409342993,13.08,Patancheru Industrial Development Area (IDA),Industrial Estate,0,0,1,3,0.2704,-0.866,0.5,-0.7248,0.689,2,2,2,0.1667,1,1.2249992779458196,0.9005114953743496,33.41308297090675,0.0262586886509351,-83.98076309847768,0.4360111586988367,1,2,Persistent Thermal Source,B_34_156
2_2_0,0,0.040277362656298,0.0570252469131866,0.0614552816985031,0.3131259975739969,0.0643067924055055,0.0626171906621983,0.1244577274801066,0.1536348022520542,0.0567231130499679,32.13896450000004,0.25436756,0.07587238,0.43107656,2.9325543329303205e-05,-15.934269956221716,-9.892555879490736,6.04171407673098,2266.5,1568.5,1049.0,2638.6666666666665,0.0001522648116246,0.0,0.0,0.0,NO_FIRE,0,19.066083230545864,78.69966089278736,0.0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69691046529069,19.066741905436846]}",,0.1049,0.2638666666666666,0.22665,0.15685,0.0634951109608771,0.1719767885068874,0.0700928643611694,0.0719841824571363,0.3505091468301832,0.1393163525656046,0.0687922386618839,0.0638333156562578,crops,0.3505091468301832,5.192224741236122,86.53,Ramagundam Super Thermal Power Station NTPC,Thermal Power,0,0,0,0,0.0002,0.0,-1.0,0.1012,-0.9949,10,2,1,0.0833,1,0.7006691429926986,0.6890595321719929,34.51806852489128,1.375844773237678e-05,-96.27030309693627,0.4465248330825398,1,0,Forest/Natural Fire,B_38_157
2_3_0,0,0.0365326207290309,0.0521835286802213,0.0481189893741559,0.2423042531258293,0.0381135286380803,0.0615157477191782,0.2545603347493202,0.1705489607993513,0.0344149688192244,34.86312644000003,0.09819893,-0.058653586,0.3536789,2.4834083769131544e-05,-16.840560846889304,-9.902407538427008,6.938153308462296,2931.5,2140.5,1244.5666666666666,2606.6666666666665,0.0001146631480591,0.0,0.0,0.0,NO_FIRE,0,16.268604525537217,76.66401120778264,0.0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66671792318057,16.272981371825132]}",,0.1244566666666666,0.2606666666666666,0.29315,0.21405,0.0381642087868203,0.1891289276625985,0.0682174042337252,0.0422656975860346,0.2687013942916341,0.2822926795385913,0.0533611745148592,0.0578685133857365,shrub,0.2822926795385913,4.617168449823176,73.09,Yeramarus Thermal Power Station Raichur,Thermal Power,0,0,0,0,0.0007,0.0,-1.0,0.1012,-0.9949,11,1,1,0.0833,0,1.3976125736363976,0.954694936614137,40.83868822340582,3.735282216040144e-05,-116.84239295620564,0.2847554224132022,1,0,Forest/Natural Fire,B_32_153
2_4_0,0,0.0371465095630177,0.0373457937433462,0.04361552784394,0.0501626451975122,0.0461993926340558,0.042441941788032,0.0411202043275504,0.1952476767473854,0.3292245998697278,30.70681411999999,0.46192566,0.22247215,0.47493297,2.479139774765485e-05,-15.123450847978098,-7.965595294020211,7.157855553957887,962.1,556.75,538.5,1512.6666666666667,4.231558926116532e-05,0.0,0.0,0.0,NO_FIRE,0,12.865990558116914,75.03244397863203,0.0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03178410608304,12.868366445012146]}",,0.05385,0.1512666666666666,0.09621,0.055675,0.4192033329927551,0.2486098453274238,0.0540415371854582,0.058825918178959,0.0638723475306855,0.0523585622528605,0.0555358701921203,0.0475525863397373,water,0.4192033329927551,1.7068658125646898,25.89,Baikampady Industrial Area Mangalore,Industrial Estate,0,0,0,2,0.0751,0.0,-1.0,0.1012,-0.9949,12,1,1,0.0833,0,0.3619997197615645,0.418367784720369,31.496333660764385,0.0041707438514282,-108.25147664720916,0.1049062604299941,1,0,Forest/Natural Fire,B_25_150
2_6_0,0,0.0337007945390762,0.1147468270667429,0.0428480601182118,0.2188034300204543,0.0299685828032947,0.1294323596327255,0.2716824242046901,0.072583147091791,0.0359551174943113,30.462425690000032,-0.0017967658,-0.11894273,0.28336754,2.0698777153170604e-05,-16.51078111615451,-9.257762054703036,7.253019061451475,3175.0,2509.0,1396.0,2500.0,4.964650154266425e-05,0.0,0.0,0.0,NO_FIRE,0,13.857652980497711,78.1519932071486,0.0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,13.85651325754362]}",,0.1396,0.25,0.3175,0.2509,0.039251456866031,0.0792375179339902,0.1412986254876331,0.0327160809702739,0.238863171478895,0.2965900739057895,0.0467763395235515,0.1252667338338355,shrub,0.2965900739057895,2.398523409150259,95.95,Yerraguntla Cement Cluster Kadapa,Cement,0,0,0,0,0.0001,0.0,-1.0,0.1012,-0.9949,14,1,1,0.0833,0,2.4467586323582657,1.1209532080294229,38.88650490930481,4.67763395235515e-06,-119.75301015492174,0.1027621871866147,1,0,Forest/Natural Fire,B_27_156
