system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio
1_2021028_23_0,0,0.0340558111130579,0.0643691923912792,0.2010060328591082,0.1830230449725474,0.0295981515997222,0.0621247978969698,0.1980446771208551,0.0873580722559598,0.0323297937201069,36.281604740000034,0.027946537,-0.09092412,0.27898592,2.0985941863848493e-05,-17.64618676830805,-5.544999342657704,12.101187425650345,3299.5,2600.0,1550.0,2749.5,1.6483853454520588e-05,315.3999938964844,63,28,2021-01-28,1,10.040025620134871,77.50276783799657,1,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50215113741172,10.038673300035653]}",0.155,0.27495,0.32995,0.26,0.03768683559067235,0.10183329145650814,0.07241886739879597,0.03450256078908375,0.21334993550839823,0.2308606498042567,0.23431270173503127,0.07503515771725361,built,0.23431270173503127,0.7854712245685077
1_2021035_20_0,0,0.0368151060564415,0.0636834388022266,0.055165086237211,0.2593818863609894,0.0444403642618526,0.070399072113639,0.1747054792275386,0.1717152455452061,0.0467101445621145,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223e-05,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.00012127509019008928,319.0,67,4,2021-02-04,1,18.22069527449537,78.32145314048748,2,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}",0.1111,0.2231,0.26605,0.188025,0.052708312756054324,0.19376563596680227,0.07943919560701382,0.05014706420768718,0.29268977259083606,0.19713985314423962,0.06224897494673906,0.0718611907806276,crops,0.29268977259083606,4.1746240390613885
1_2021048_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.00010230539070793222,325.1000061035156,46,17,2021-02-17,1,17.476486388915202,78.15031860836525,2,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",0.0887,0.2168,0.236,0.16485,0.04230296713889905,0.39814491073146124,0.06748112582537241,0.042986950128638526,0.10815576881315296,0.18775753383045213,0.09711053495168331,0.056060208580340325,trees,0.39814491073146124,2.400487409343749
1_2021073_5_0,0,0.0411018308506818,0.0615774743419024,0.0370956613041926,0.0701230113918427,0.033374072285369,0.080695739146904,0.1589488692552549,0.4576607302224147,0.0402522247313754,28.71889368800004,0.3755403,0.12849395,0.5554917,4.66417683276769e-05,-13.841692224423277,-7.190571422387935,6.65112080203534,2089.0,1228.0,773.0,2705.0,0.0001335742444413417,324.29998779296875,39,14,2021-03-14,1,17.88244396306429,80.77695474156354,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.78100192444798,17.880965730399076]}",0.0773,0.2705,0.2089,0.1228,0.04283392007056806,0.4870141530961011,0.08587139875425685,0.03551461699920827,0.07462055787253105,0.16914352452374679,0.039474901123418144,0.0655269275601696,trees,0.4870141530961011,2.863833195665518
1_2021082_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,343.5,86,23,2021-03-23,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",0.0845,0.25155,0.2307,0.15185,0.037996462249249366,0.3441370298360431,0.0911746869499439,0.03592750068960166,0.09261808881664339,0.30661336026737657,0.03450621550648465,0.05702665568465736,trees,0.3441370298360431,1.7673958206445426
1_2021085_65_0,1,0.0349355721166251,0.0531970705390752,0.0321889747574459,0.0863983858920012,0.033514814528947,0.0850519146673226,0.2860229546786286,0.3210267484828364,0.0354448364232666,28.996095110000056,0.24714923,0.043234836,0.49709865,2.0503287184854663e-05,-11.901923051888746,-4.819593471218452,7.082329580670294,2307.0,1518.5,845.0,2515.5,3.623742407998694e-05,327.1000061035156,52,26,2021-03-26,1,15.783837799658167,79.00716904160585,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01132081473251,15.78789111840059]}",0.0845,0.25155,0.2307,0.15185,0.037996462249249366,0.3441370298360431,0.0911746869499439,0.03592750068960166,0.09261808881664339,0.30661336026737657,0.03450621550648465,0.05702665568465736,trees,0.3441370298360431,1.7673958206445426
1_2021088_88_0,0,0.0361187409991695,0.0411186658037716,0.0418644921635003,0.0961179332259823,0.0284521002322435,0.0480765632134588,0.2140547057805473,0.4066598685732221,0.0317357467788764,26.63937032000001,0.225054,0.054079168,0.4867628,2.1840270275282492e-05,-15.081273446049831,-8.529382789253267,6.551890656796566,2545.0,1794.0,979.0,2836.0,7.238112889221584e-05,310.70001220703125,78,29,2021-03-29,1,14.473716549077151,78.9610451702261,3,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.95742189768535,14.47635080358609]}",0.0979,0.2836,0.2545,0.1794,0.03494818092106063,0.44782379816854834,0.05294308783573717,0.03133214899365294,0.10584742005743292,0.23572227988667568,0.046102203187232946,0.04528088094965938,trees,0.44782379816854834,3.3141132403536444
1_2021091_34_0,0,0.0358390579646308,0.0608432538645116,0.031719986874977,0.0737779458885956,0.0296421680232566,0.0560268786785221,0.1850849728551552,0.4670550253729082,0.0379803512407692,25.06708112000001,0.1739111,0.035615355,0.42560312,2.1340792670899204e-05,-15.504182810998518,-8.346758294253473,7.157424516745046,2437.0,1841.6,1054.428571428571,2617.0,0.0001010997701430954,323.5,53,1,2021-04-01,1,15.333035994764405,78.76996782294837,4,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76877568802024,15.329750323499635]}",0.10544285714285712,0.2617,0.2437,0.18416,0.04031325586305104,0.4957434074430249,0.05946827297771028,0.03146290818328124,0.07830968151933955,0.1964536299260569,0.033668354954309546,0.0645804891332266,trees,0.4957434074430249,4.73739526465469
1_2021091_62_0,0,0.0408838066675609,0.0382582856475242,0.0401837533738996,0.0513333940811987,0.0307809442148676,0.0476948854180851,0.1048889275906341,0.6003824049274304,0.0304387506762785,26.88888578000001,0.33997378,0.13297872,0.55097085,2.3385690829280493e-05,-11.930621878865184,-5.661325582454549,6.2692962964106345,1956.0,1259.0,740.0,2556.0,0.0001348337268769195,325.5,48,1,2021-04-01,1,17.927691949575294,82.69058645497867,4,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.69441347962255,17.92588149460505]}",0.074,0.2556,0.1956,0.1259,0.03224575964632596,0.6360243536624688,0.05052631193399106,0.032608267645265254,0.05438082216240431,0.11111570197538712,0.042569278442554925,0.04052950453160248,trees,0.6360243536624688,5.765650793095169
1_2021142_20_0,0,0.0368151060564415,0.0636834388022266,0.055165086237211,0.2593818863609894,0.0444403642618526,0.070399072113639,0.1747054792275386,0.1717152455452061,0.0467101445621145,33.345525560000056,0.08531468,-0.087805375,0.33512866,2.905054181055223e-05,-17.04073451442885,-9.901074627505366,7.139659886923482,2660.5,1880.25,1111.0,2231.0,0.00012127509019008928,331.79998779296875,66,22,2021-05-22,1,18.22069527449537,78.32145314048748,5,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31961804596048,18.222325538364494]}",0.1111,0.2231,0.26605,0.188025,0.052708312756054324,0.19376563596680227,0.07943919560701382,0.05014706420768718,0.29268977259083606,0.19713985314423962,0.06224897494673906,0.0718611907806276,crops,0.29268977259083606,4.1746240390613885
